run_number,kind,target,repeat,glyph_count,smart_base_count,elapsed_seconds,status,font_size,log_file
255,backward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.top+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral+_smart.tripleIntegral,1,1791,15,13.91,ok,291940,logs/255_backward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.top__s_r1.log
256,backward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral+_smart.tripleIntegral,1,1791,15,13.934,ok,291940,logs/256_backward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
257,backward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.integral.top+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral+_smart.tripleIntegral,1,1823,15,15.036,ok,320216,logs/257_backward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
258,backward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.integral.top+_smart.minus+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral+_smart.tripleIntegral,1,1856,15,19.644,ok,320216,logs/258_backward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
259,backward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.integral.top+_smart.minus+_smart.multiply+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral+_smart.tripleIntegral,1,1879,15,23.438,ok,320216,logs/259_backward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
260,backward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.integral.top+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral+_smart.tripleIntegral,1,1880,15,24.739,ok,320216,logs/260_backward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
261,backward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.integral.top+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus.001+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral+_smart.tripleIntegral,1,1877,15,20.545,ok,320216,logs/261_backward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
262,backward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.integral.top+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled.001+_smart.quadrupleIntegral+_smart.tripleIntegral,1,1879,15,23.09,ok,320216,logs/262_backward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
263,backward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.integral.top+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.plus.circled.001+_smart.tripleIntegral,1,1880,15,22.059,ok,320216,logs/263_backward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
264,backward,math___smart.circle+_smart.contourIntegral+_smart.dblIntegral+_smart.integral+_smart.integral.bottom+_smart.integral.top+_smart.minus+_smart.multiply+_smart.multiply.circled+_smart.operator.circled+_smart.plus+_smart.plus.001+_smart.plus.circled+_smart.plus.circled.001+_smart.quadrupleIntegral,1,1880,15,23.748,ok,320216,logs/264_backward_math___smart.circle__smart.contourIntegral__smart.dblIntegral__smart.integral__smart.integral.bottom_r1.log
